Group,x,y,t,s
O,-12.33396494,386.2090085,0,0
P,33.60909471,-294.7957203,1,0
O,-21.95399037,-148.4749397,0,1
O,-11.96289714,226.1928557,0,1
M,13.37078128,-233.9719977,0,0
N,3.627848603,-257.5861287,0,0
O,-28.5182037,67.533342,0,1
M,15.77284005,-210.7234294,0,0
O,-35.24339809,142.6909871,0,0
O,-4.297185801,290.9644996,0,0
M,-1.721719965,-96.22928371,0,1
P,19.36780861,152.371052,1,1
P,11.85180713,129.0083325,0,1
P,-12.93609767,-136.3674386,1,0
P,31.79599105,152.4045831,1,0
M,10.57974187,-288.452423,0,1
N,13.65300628,-214.2944085,0,0
M,23.2486893,-362.9319923,0,0
N,41.6826886,-391.4279797,0,0
M,22.62811548,-573.3053247,0,1
P,43.46715401,-200.212968,1,1
P,18.34719924,144.0820844,0,0
P,-30.72727044,-72.4411908,0,1
N,3.234644852,-313.5082522,0,1
P,-5.976952504,-88.84407973,1,0
P,25.44835754,-297.8956393,0,0
P,19.05398928,-94.28932627,1,1
P,31.37593912,-89.79107993,1,0
M,4.668307768,-164.1550178,0,1
N,9.451125527,-386.6536849,0,1
P,11.20384763,98.71422425,1,0
M,19.06237219,-198.1239317,0,0
M,19.97075278,-373.9586678,0,0
P,28.57292499,-233.9516713,1,1
M,-1.887472692,-195.2078923,0,0
O,-8.04514457,356.4083928,0,1
O,-14.58880587,165.4511988,0,1
M,12.98646427,-382.4526887,0,1
N,14.72625872,-228.8514983,0,0
N,26.45295482,-224.8348085,0,0
N,29.13619982,-491.6900042,0,1
P,-4.489998796,238.9434414,0,0
O,2.968251427,274.6133128,0,0
M,9.002367908,-57.15214945,0,0
P,-15.39145681,-305.7163719,1,1
M,26.40761203,-158.4457536,0,1
O,-9.626847818,-85.94244369,0,0
O,-8.758560594,107.1878884,0,0
N,44.11547339,-463.2634211,0,1
N,21.14301699,-625.9764714,0,1
O,-8.981240778,110.1233995,0,0
M,1.581872743,-323.7896999,0,1
P,26.28943966,188.6306887,0,1
M,16.50013727,-145.1037079,0,1
N,46.35694794,-508.5233321,0,0
O,-14.81922382,70.40598347,0,1
P,15.12171714,-135.6940707,1,1
O,12.85772162,316.7381772,0,1
O,-15.91168252,-27.23964678,0,1
O,4.24807986,393.814901,0,1
O,-16.46421358,234.3383856,0,1
N,33.62915213,-248.4041021,0,1
P,-9.356296172,-49.54307317,1,1
N,25.93745727,-382.8955399,0,1
M,15.70704882,-71.21397263,0,1
P,1.379482144,-52.24489675,1,1
O,-26.09007015,138.8532612,0,1
M,21.06112421,-107.420093,0,1
P,-9.598299077,62.96792492,0,1
P,24.11685017,-182.7674217,1,1
M,26.70682197,-690.9286815,0,0
M,17.24615064,-348.8125085,0,0
O,-12.25190334,193.0185263,0,0
O,-9.251354383,51.84062732,0,0
N,27.63644421,-178.9758775,0,1
O,-21.59750058,100.6724624,0,0
O,-24.47637122,24.20336597,0,0
P,54.71367198,-113.4350352,0,1
O,-12.43503259,-88.31291906,0,1
M,4.076053403,-292.938941,0,0
P,-12.78962971,-81.22765435,0,0
M,13.95927012,-395.8363646,0,1
P,54.04637783,-395.1141395,0,0
P,7.14534977,-19.20925811,1,1
N,45.2496795,-19.60200464,0,0
P,11.83797633,-59.3301524,1,0
N,29.19420926,-385.068775,0,0
P,-17.75025902,-213.3671508,1,0
P,37.43553395,-150.6153235,1,0
N,27.97172418,-357.4218139,0,1
O,-7.331006644,371.073314,0,0
O,2.236650889,181.2382925,0,0
M,4.766898949,-390.8567511,0,1
M,6.583263586,-463.0859759,0,0
N,18.75879621,-410.8821221,0,0
M,27.64029379,-192.6039779,0,1
N,35.41360177,-257.5008675,0,0
O,-13.94300704,285.1398571,0,1
N,18.96559229,-414.8669924,0,0
O,-7.430620355,153.3552802,0,0
P,-11.27709553,-124.6618123,1,1
P,5.991705827,131.5695938,1,1
P,17.31994036,24.67971364,1,0
M,15.06274675,19.62472358,0,1
M,19.32365777,-302.6402195,0,1
M,19.94484549,36.88979938,0,1
M,6.712201073,-121.4894828,0,1
N,18.92021102,-121.7805,0,0
P,-9.244487148,7.275982086,1,0
M,32.20334534,-193.6750779,0,1
N,1.929866127,-601.3744549,0,1
N,28.17297975,-177.6215299,0,0
M,8.719265345,-261.428583,0,0
M,4.789484406,-150.1129783,0,0
P,54.56338317,49.77554993,0,0
N,42.94068426,-457.1445964,0,0
P,9.110805032,-240.4170435,1,1
O,-17.94532745,466.553016,0,0
O,-14.25441259,223.5134834,0,1
P,23.14389431,-254.5633705,1,1
O,-10.56640002,187.4252125,0,0
P,-21.84369635,-53.1798706,1,1
M,17.86908913,-107.8039549,0,0
P,28.109776,-134.0892883,1,1
O,-21.22641769,226.3565425,0,1
O,-7.371848446,49.72601709,0,0
O,-9.17056857,445.1790475,0,0
M,21.31676326,2.114242171,0,1
M,23.08855623,-238.9849246,0,0
O,-7.800214564,294.3596804,0,0
N,17.99012388,-289.7551804,0,1
O,-13.69641661,101.6261993,0,0
M,26.50234058,-85.21216914,0,1
O,-8.539944493,6.705969045,0,1
N,-3.997395378,-251.1718559,0,1
O,0.808480776,317.4135849,0,0
M,-10.75103339,24.61320296,0,0
N,25.12712293,-448.8704113,1,0
P,55.13337064,52.89787075,1,0
M,22.4927637,-39.63095999,0,1
M,7.64711002,-255.6527358,0,0
P,2.442337366,-12.15327415,1,1
P,22.19804099,92.43315304,1,1
P,28.44178453,-163.030041,1,0
P,36.53411957,-93.09252999,0,0
O,-32.49681685,151.354791,0,0
N,40.7852104,-351.7734313,0,1
O,-4.333639771,234.4746379,0,1
O,-5.80070618,189.2205649,0,1
O,14.71925181,400.2981463,0,0
P,35.16014044,54.62958913,1,1
M,38.14685489,-253.2679533,0,1
P,40.07377202,113.7013161,1,1
N,-24.56853453,-384.4720462,0,0
O,-13.12900403,297.1078103,0,0
P,-25.81109914,31.01331178,1,0
N,46.75558221,-362.7281011,0,0
N,36.10183843,-319.1466498,0,0
N,6.142813535,-258.5151494,0,0
M,12.83317353,-365.1523475,0,1
O,-10.85434658,354.4773327,0,1
O,-9.646753053,317.6211369,0,1
M,26.45359327,-216.1989005,0,0
M,21.90863778,-144.8083602,0,1
O,-22.99129401,49.76401211,0,1
N,20.16633298,-407.1594565,0,0
O,-0.398332723,274.2923581,0,1
O,-3.25009989,144.3791905,0,0
P,-18.57998461,-208.9388038,0,0
O,-4.540822177,491.1540047,0,0
M,13.10172833,-305.0647205,0,0
N,35.43227741,-323.1046985,0,1
M,21.00696139,-191.3686534,0,1
O,-14.01372628,98.04537555,0,0
P,-24.91851028,-179.4824775,1,0
N,38.72014308,-266.5530863,0,0
O,4.977748066,315.3627394,0,0
N,35.87962178,-544.3770442,0,0
M,16.66965662,-102.7795579,0,1
O,12.41959595,529.5350601,0,0
N,3.018667064,-457.9813433,0,0
O,-2.332098439,159.1447859,0,0
O,-0.428832428,254.2408701,0,1
P,3.858589242,-14.98269049,1,1
P,-10.83434765,1.849850336,1,1
M,27.99169772,-493.5992539,0,1
M,38.195701,-443.5000662,0,0
N,21.81256256,-478.5596444,0,0
N,39.69517308,-460.0121734,0,0
N,28.24702656,-483.1939692,0,0
M,20.71785023,-288.7482949,1,0
M,16.85912387,-315.1502438,0,0
M,27.17953442,-482.3940489,0,0
M,11.57012894,-225.8693649,0,0
O,3.709799707,199.8693477,0,1
P,-1.972093894,-128.5636771,1,1
P,16.5227974,-229.4449274,1,1
N,37.5433511,-585.5196851,0,1
M,29.51219588,-369.2348181,0,0
N,12.79836111,-282.8537383,0,0
P,27.09254668,-18.20711266,1,1
M,-14.14639476,-189.3777711,0,0
O,-19.55257471,75.04247596,0,0
N,9.906787771,-391.9653288,0,0
O,-34.14679529,75.04583423,0,1
O,-15.4788127,-203.6741536,0,0
O,-20.3549352,-66.78966598,0,1
O,-26.01862343,-20.81442854,0,1
M,17.9714732,-155.5820944,0,1
N,23.01790682,-487.8368737,0,0
N,14.23222224,-511.665142,0,1
N,5.459735893,-227.2083453,0,0
O,-21.97426064,6.163009387,0,0
P,34.41047635,20.87727087,1,1
P,22.76552005,-2.885166466,0,0
P,25.30448252,-238.9954234,0,0
P,-3.975401582,-135.8901613,0,1
P,-9.245385308,75.42352845,1,1
N,3.764670849,-484.9945311,0,0
O,-15.46222855,139.3538286,0,1
M,20.44948272,-273.641413,0,0
P,8.961361269,-96.33764227,1,1
M,15.18948857,-367.7230283,0,0
P,5.618346568,-16.41858964,1,1
P,15.33333958,-243.5417825,1,1
O,-7.367344523,548.6518779,0,0
O,-3.103170089,293.7518023,0,1
O,1.935367323,339.9325467,0,1
N,19.75990299,-380.980598,0,0
N,46.36589272,-211.9130083,1,1
P,31.75776071,-127.5750335,1,1
N,41.53995428,-529.7286679,0,1
M,15.04848477,-161.2232674,0,1
M,19.73039141,-293.0750638,0,1
O,-12.76832596,253.9440163,0,1
O,-5.203445171,120.1859371,0,1
P,8.524465456,78.61555304,1,1
M,31.98864154,-231.3309963,0,0
P,16.45240589,-32.74160965,1,0
P,15.69625212,5.894281995,1,1
P,40.09955786,-24.88916322,1,1
M,33.09137333,-344.2195063,0,0
O,-6.410159544,95.16548371,0,1
N,32.77754427,-575.4585473,0,1
M,8.174300711,-319.1594148,0,1
M,30.46321794,-489.3166137,0,1
O,-33.59499231,18.84630042,0,1
P,24.20060532,166.8805948,1,1
M,13.2000396,-52.24155728,0,0
M,5.926773902,-233.5388922,0,0
M,6.500099606,-109.8400597,0,1
M,20.93056813,-85.64732079,0,1
N,24.60738814,-332.6258237,0,0
P,39.2912977,65.41744022,1,1
M,31.95752656,-104.4641811,0,1
O,-12.19789761,2.128681025,0,1
N,30.54193527,-238.4410647,0,1
N,26.06953568,-488.372916,0,0
M,21.94628603,-348.1859079,0,1
P,42.69762595,176.7250375,1,0
O,-5.39476647,356.4694235,0,0
O,-19.60477151,323.9800532,0,1
N,30.97489826,-357.7151184,0,0
N,20.9965236,-308.8279258,0,0
N,28.94198218,-439.4236125,0,0
P,-16.43261886,-84.51630189,1,0
O,-16.468212,163.5091233,0,1
O,-21.16924924,-150.342987,0,1
O,-20.44687012,301.0861403,0,0
N,28.84761313,-312.1020464,0,1
M,21.56694939,-128.8168233,0,1
N,34.66941495,-318.2916462,0,0
O,-13.48496044,431.0307165,0,0
M,6.876684825,-187.0437302,0,1
P,16.49927982,138.2755286,0,0
N,33.08675971,-215.0418614,0,0
M,18.76466506,-313.2999725,0,0
O,-2.610886011,6.924635149,0,0
N,17.59044668,-287.6860739,0,0
M,12.35664913,-502.8622764,0,1
O,-7.656207706,260.4984194,0,0
P,-28.10843196,-99.59906657,1,1
O,-8.643091964,-38.18766047,1,1
O,-7.120752969,255.8480262,0,1
O,-12.9916896,130.4230676,0,0
O,-5.334001188,350.8675609,0,0
N,25.10403144,-390.6713756,1,0
N,3.622042544,-132.0178844,0,0
O,-1.496815143,552.2991637,0,1
M,12.79380843,1.601462584,0,1
P,29.53569078,-175.5169341,1,0
O,-1.403839341,277.3758017,0,1
P,-11.99493431,-279.1279096,0,1
O,10.19841036,279.4487837,0,0
M,21.51804552,-577.5486974,0,1
P,20.93067644,-17.04279681,0,1
N,8.201827178,-448.1222513,0,0
M,25.98993478,-119.3086867,0,1
M,10.06666731,-198.2615128,0,0
O,-10.91785944,174.2751433,0,1
P,-12.70975386,-10.52626048,0,1
N,5.809958958,-163.6039179,0,0
P,18.35513576,-113.3231838,1,1
N,19.15537415,-143.0534079,0,1
N,-19.7917617,-123.3080399,0,1
N,4.535145611,-161.1979587,0,1
P,3.852161617,-115.4818923,0,0
P,0.586337453,-7.274190808,1,1
O,-16.75568829,473.2684136,0,0
P,0.858977927,-32.98683725,1,1
O,-12.26827241,60.16328338,0,0
P,-7.154400109,-57.88694004,1,1
N,1.525196283,16.40940907,0,0
P,10.73018516,-96.06645606,1,0
P,10.85715129,-86.67121334,1,1
O,-11.83644103,121.5717054,0,0
O,-16.35692072,105.06727,0,0
N,17.93823144,-389.6014947,0,1
P,12.5729357,18.90873684,1,0
N,0.205655938,-349.3695501,0,0
O,-13.74113391,142.0345008,0,1
M,10.65569324,-253.6166333,0,1
O,0.571132919,287.6094023,0,1
O,1.469330849,158.9811049,0,0
N,39.35613682,-189.8914194,0,1
P,-3.090129188,34.48120171,1,1
M,22.38194844,-175.1972098,0,1
M,16.33005675,-116.1928682,0,0
O,-9.985644734,176.5409129,0,1
P,39.2521759,-260.1930041,1,1
O,-13.23571479,280.0952028,0,1
N,35.60583034,-613.2732362,0,0
N,12.82750021,-298.7227426,0,1
O,-26.44334288,117.2465326,0,1
M,13.56109983,-388.32785,0,1
P,1.714598121,79.24498731,1,0
M,-4.840072562,-294.6551656,0,1
M,8.339814029,0.016492527,0,1
P,26.91826575,-63.18103635,0,0
O,-6.673721279,410.6054321,0,0
M,28.15479816,-536.0954709,0,1
P,35.54187652,-260.7596817,0,1
N,40.15126603,-455.3790361,0,0
O,-18.30446464,-83.04723448,0,1
O,-5.301376891,129.6813999,0,1
M,22.43520678,-468.7765105,0,1
O,-16.5157334,47.14287568,0,0
P,15.9311668,-11.39866412,0,0
N,29.28134865,-306.39753,0,0
M,8.079228119,-320.0122774,0,1
M,3.944570785,-188.956587,0,1
N,21.35173022,-390.2461378,0,0
N,24.04266288,60.79151496,0,1
P,9.908138145,221.3143206,1,0
O,-5.940584598,-68.71442712,0,1
M,14.66947511,-367.3433136,0,1
P,22.32686579,-212.7750384,1,0
N,22.22693496,-145.9345301,0,0
O,-1.891018524,237.9337,0,1
N,36.62348223,-229.3170463,0,0
P,21.59396855,134.427336,1,0
O,0.051648823,285.1645439,0,0
P,40.36439749,-161.5592186,1,0
M,10.27003736,-128.9632298,0,0
P,-33.32839874,5.488939025,1,1
N,20.75455365,-427.3342641,0,1
N,47.07842177,-296.0668703,0,0
O,5.886278863,382.2345074,0,1
N,-0.067498656,-296.8684332,0,0
N,33.15050387,-359.8918438,0,0
P,-10.28501577,-8.565382549,1,1
O,-27.34607958,285.0560582,1,1
N,22.63221295,-302.1115536,1,1
O,-21.41968799,155.6943931,0,1
P,-3.718087786,-140.4353756,1,1
P,49.98280651,-62.35536552,0,0
N,17.9685377,-301.7897795,0,1
P,14.08736069,-113.9451817,1,0
O,-7.204314963,385.2576968,0,1
M,23.19515855,-398.6107368,0,0
P,-50.07260081,-133.2524286,1,1
O,-14.11455888,96.68396802,0,0
P,8.843001685,-24.69621859,1,1
M,16.66966605,-373.789655,0,1
M,25.01483261,-455.6183884,0,0
N,4.765520655,-18.67853651,0,1
P,-1.335088365,-175.7059292,1,0
N,35.72705212,-275.1662279,0,1
M,8.893318057,78.21769156,0,1
M,22.54468277,-418.1208992,0,0
N,-8.720580509,-418.4232597,0,0
M,11.58600779,-279.1840921,0,0
N,17.78793538,-403.6149075,0,1
O,-12.62450844,283.2064847,0,0
O,-9.850273421,20.33231271,0,1
M,14.75935076,-235.4952064,0,0
O,-6.673765526,346.5021658,0,0
P,-14.32499326,-178.2652099,1,1
N,8.679009902,-253.1946765,0,1
M,20.16297541,-358.3677135,0,0
P,33.20233185,71.04908527,1,0
O,-7.199530185,36.62208747,0,1
O,6.382420724,249.3486646,0,0
M,21.42939448,-311.1495929,0,1
O,3.087293929,250.9707625,0,0
M,7.411428376,-381.2165462,0,0
N,48.79147833,-356.4334909,0,1
O,-1.03195903,341.6304842,0,0
N,2.863967969,-212.1350336,0,0
M,19.5660385,-270.1291454,0,1
O,-11.20514947,126.9896563,0,0
N,36.98329216,-279.3042188,1,1
M,12.63686302,-215.6306414,0,1
N,24.69954049,-412.6745821,0,1
P,35.2182435,3.022039797,1,1
M,36.54927245,-247.8179534,0,0
M,37.78220515,-371.7859658,0,0
N,10.40091143,-253.5847413,0,0
P,25.28380893,15.02970157,1,0
N,20.05344298,-469.2858066,0,0
N,31.93762645,-519.255616,0,0
N,11.00681431,-110.4725156,0,0
P,20.52095431,-186.4517765,1,1
P,-13.80569753,101.4712516,1,1
P,-9.746690155,95.49210269,1,1
M,11.27355385,-163.4801748,0,0
O,-18.10562045,358.6926572,0,0
N,38.44403284,-520.238809,0,1
O,-17.11029302,257.1075289,0,0
P,-8.474647594,211.515727,1,1
M,15.09390397,-2.295718102,0,0
M,16.70218309,-356.8730427,0,0
O,-14.01593541,129.4166712,0,1
O,-24.35862021,60.38263174,0,1
N,11.08207198,-222.6925238,0,1
O,2.52211509,549.1703807,0,1
O,-4.15339769,252.2609667,0,0
N,24.74929192,-600.3665831,0,1
N,9.936730939,-181.4485105,0,0
M,5.231098263,-309.8721429,0,1
N,2.160423196,-283.18887,0,1
P,10.03672146,45.4380451,1,1
O,-22.46552968,134.282659,0,1
M,13.64615602,-159.7356555,0,0
M,7.340785495,-273.8054859,0,0
O,-11.37766293,415.5558794,0,1
M,29.73829709,-142.5376479,0,0
P,19.58559374,-69.46619108,1,1
P,39.7540414,31.69558348,1,1
N,39.77291947,-394.6813613,0,1
M,1.263048967,-188.1543283,0,1
P,19.79698728,8.267672152,0,1
O,-10.27607331,278.609897,0,1
O,-24.35593864,22.47579183,0,0
N,10.71125707,-161.2458308,0,0
P,-23.68321256,-139.115298,1,0
M,10.17822076,-216.2577395,0,0
O,-11.65515252,252.188481,0,0
P,6.594360875,66.01063058,1,1
N,30.0430299,-319.6620331,0,0
M,16.25526624,-114.4645967,0,0
M,28.58023251,-257.1509381,0,1
O,4.546736519,257.4314763,0,1
O,-3.404726928,131.1002631,0,0
P,29.03446411,-264.8271867,1,0
M,-1.644789399,-116.7683127,0,1
P,3.134493595,65.07327403,1,1
P,39.31715102,-19.06676212,1,1
O,1.943792717,297.8017827,0,0
P,38.45976364,89.33996876,1,1
N,32.35445441,-180.9943412,0,0
N,19.02190494,-546.7783783,0,1
P,6.056855664,-11.51923019,0,0
N,13.50295864,-208.6334988,0,1
M,3.971011795,-170.7240541,0,1
M,21.26081762,-410.5516055,0,1
N,35.1181875,-327.9604914,0,0
M,10.22438352,-344.0392952,0,1
M,10.69669196,-339.4525977,0,0
O,-23.84677978,150.7919779,0,0
N,31.04784906,-314.8134577,0,0
O,-14.30374469,125.6835656,0,1
N,11.02586282,-297.2660893,0,1
M,18.16880078,-221.1841544,0,1
O,-8.123611356,463.8408924,0,1
O,-5.109384507,96.15994871,0,1
N,10.76423357,-170.1799778,0,0
P,25.63513023,-56.62490181,1,0
O,-15.84087616,-27.76937505,0,1
M,13.64628305,-88.9613982,0,0
O,8.795398766,522.2033397,0,0
O,-17.95385659,109.8495774,0,0
P,30.65291224,78.49666433,1,0
O,-9.212901379,136.8205165,0,1
N,32.13876071,-320.5724395,0,0
O,-12.63365393,182.7689439,0,1
P,14.91052923,-37.75088435,1,1
P,7.968646082,-236.2019507,1,0
P,-14.33771608,-67.04096534,1,1
P,-21.28115362,-55.30597547,1,1
N,10.65777487,-428.3034702,0,1
M,-4.572408023,-201.9653814,0,0
N,-1.849267508,-180.0223247,0,0
P,23.61950276,-33.40952175,1,1
P,39.83119229,77.77059796,0,1
M,5.839765981,-121.9080809,0,1
O,-17.28847451,235.3178743,0,1
N,10.35830897,-503.8493552,0,0
M,5.626424562,-258.6158162,0,0
P,5.764334876,-103.9584195,1,0
N,6.071966828,-284.1473917,1,1
M,21.29942105,-153.1847869,0,0
N,34.1047702,-306.4623093,0,0
M,-6.60255528,-63.77986828,0,1
O,-6.679913965,234.8608636,0,0
N,36.67240357,-191.3208665,0,1
N,44.97203297,-459.3659573,0,0
P,-17.86924711,-101.5618359,1,1
M,12.5869874,-111.3611794,0,1
O,-8.670778143,-1.750191182,0,0
O,6.500658425,496.0852022,0,0
N,29.89083149,-246.3714541,0,1
P,48.32453422,-21.94122964,1,1
N,12.95073794,-467.3788488,0,0
P,34.25964035,-178.4086384,1,0
N,24.52659069,-263.4834113,0,1
N,10.56973577,-293.9638554,0,0
P,7.343416227,-156.8953286,1,1
O,-31.60091287,208.2738665,0,1
O,-11.26723474,84.95094497,0,1
O,-13.56614296,100.7094894,0,0
M,28.54722463,-433.0276629,0,0
M,21.63825235,-111.2525351,0,1
P,48.24222807,36.35561416,1,1
N,36.21938685,-525.7028077,0,0
O,-18.36954008,202.3568597,0,0
M,29.98891487,-229.0705361,0,0
N,6.175849781,-338.8376694,0,1
O,-30.41695807,-124.8301686,0,0
P,26.53171069,-52.5759477,1,0
N,23.8850612,-176.7161609,0,1
P,-8.245762567,77.14641789,1,0
P,4.246525538,-80.29037108,1,1
M,9.260670778,-315.0523052,0,0
M,-3.535905704,-148.7560648,0,1
N,17.25015728,-142.6908834,0,0
P,15.9670024,-92.13368937,1,1
N,23.14482422,-301.363688,0,1
O,-3.210512768,224.2378508,0,0
O,-18.54630944,94.94313557,0,0
M,26.15686571,-441.3667146,0,1
N,28.65410619,-298.1252403,0,0
M,9.412626429,-459.1148089,0,1
N,2.650110222,-106.0699306,0,1
P,29.67696617,-190.4220581,1,0
P,-5.146344997,-71.56673394,1,0
P,-5.52350922,-77.38857499,1,1
N,12.94343724,-412.9903502,0,1
M,42.51485947,-276.6957295,0,0
M,10.19361943,131.8105649,0,1
P,14.51831448,-29.14634931,1,1
P,22.20685506,16.64194312,1,1
N,11.65117407,-289.1683426,0,1
O,-26.69857896,-169.7751376,0,0
N,-0.289446162,-255.5669926,1,0
N,29.80037873,-233.435107,0,0
N,10.4283736,-325.3398235,0,1
O,6.685943626,222.9693055,0,1
O,-24.07997387,-95.26554058,0,0
O,-30.59930926,-129.4563027,0,1
N,38.67568719,-258.7282272,0,1
O,0.853270879,140.6246357,0,1
O,8.315473876,248.0834783,0,1
M,14.5902141,-478.3263084,0,0
M,20.14865181,-278.2081671,0,0
O,-18.68878132,264.3714335,0,1
O,-17.88287908,216.9031303,0,0
O,-21.11023357,334.753831,0,0
M,20.33252714,-137.4120974,0,0
P,13.21272733,-271.4614596,0,0
O,1.504055043,191.6623001,0,1
M,16.19223995,-271.0611817,0,1
P,47.22257409,-117.3332697,1,0
N,19.7255285,-228.7582749,0,0
M,2.571962715,-257.0629611,0,0
P,-17.87896877,-311.1707991,0,1
P,9.756653037,184.4996817,1,0
M,2.010571735,-206.9207491,0,1
M,33.37443085,-562.2338443,0,1
P,0.224184903,-34.75148952,1,0
O,8.847249319,322.3451001,0,0
P,-0.671701746,-163.3531222,1,1
N,24.84743074,-345.1908923,0,0
N,34.6489011,-412.153641,0,0
P,-3.95647483,-152.5008328,1,1
P,10.56067594,-82.80260006,1,0
O,-15.34425576,5.320074752,0,0
P,-21.77631058,-101.1295882,1,1
M,17.16620778,-235.2922563,0,0
P,12.57948016,-23.93675669,1,1
M,10.79307336,-96.34545508,0,0
N,4.541760341,-272.0888282,0,1
N,12.74749556,-270.3382241,0,1
N,21.76510366,-384.9748505,0,1
P,0.174072975,-108.6987043,1,1
O,-20.76928408,272.7589074,0,1
M,-4.188855135,-297.4907697,0,0
P,16.32186816,37.41873034,1,1
M,2.125909444,-582.0908171,0,0
P,3.472407121,-13.20906797,0,1
M,16.70575251,-256.4949078,0,0
O,-17.43214018,206.4337821,0,1
M,23.32018052,-301.9417977,0,1
M,15.49648445,-342.0512372,0,0
P,2.79898451,-148.0574474,1,1
M,29.77029178,-284.3824222,0,0
O,10.70342601,373.6726699,0,1
M,21.50514238,-243.679806,0,1
O,-7.010793442,265.4389128,0,0
M,17.97650048,-184.4124034,0,1
O,-20.41945633,-74.26398735,0,0
O,-1.55787262,190.8837089,0,1
P,56.36858633,-71.42221903,1,0
O,-1.349449139,293.4342737,0,0
O,-1.075101405,337.1754441,0,0
P,-14.38406207,133.5065384,1,0
M,18.85605664,-149.4548539,0,1
P,-2.930489922,-28.74081292,1,1
M,15.74677636,-164.8304649,0,1
N,6.546412946,-247.4486769,0,1
N,28.17773392,-300.2863078,0,0
P,53.53333871,-115.45335,1,1
P,60.13129468,101.0808105,0,0
P,-33.32854729,107.8414918,1,1
O,-13.37112889,547.6021023,0,1
N,6.679165581,-190.8910001,0,0
P,37.89151262,-102.0870099,0,1
N,26.2465222,-290.6207991,0,0
N,23.87009029,-288.0539729,0,0
P,-29.59609425,-120.495549,1,1
N,18.50636237,-152.6728353,0,0
M,30.86485902,-300.9953914,0,1
N,20.9698711,-285.1225098,1,0
M,31.19515393,-156.3957943,0,0
M,3.141736643,-389.0020075,0,0
M,29.29037042,-568.8227682,0,0
N,23.73253332,-428.373613,0,0
O,-1.952499562,196.7607731,0,0
P,49.24241084,147.2384132,1,1
O,-1.594517037,354.3899359,0,0
M,13.32954456,-310.7668961,0,1
N,27.67359659,-322.7490022,0,0
O,-18.80123286,161.1705817,0,0
M,12.69344862,-359.5075252,0,1
O,-4.94051703,139.0469624,0,1
M,8.654725758,-59.41379552,0,1
M,37.85487602,-357.636136,0,1
N,13.35401102,-241.7633556,0,0
M,35.37124558,-374.0612312,0,1
O,-6.817877385,238.6373466,0,1
N,13.0583743,-50.68805602,0,0
P,22.59611524,-155.5795052,0,1
M,22.21826421,-161.0022106,0,1
M,24.25492411,12.4143289,0,0
O,3.280367097,175.3584819,0,0
P,4.144832728,-116.3385051,0,1
P,16.01828169,-122.6331545,1,1
M,13.33940114,-457.9661587,0,0
O,-14.58707647,231.318695,0,0
O,-25.52707386,62.65736511,0,0
M,24.26211056,-276.2164821,0,1
M,29.9713915,-424.2889605,0,1
N,29.86381359,-415.0760578,0,0
P,-19.0899803,-13.78946978,1,1
O,5.867844372,271.2246948,0,1
P,31.81667159,-1.986113403,1,0
P,10.24726887,95.71979311,1,0
P,-5.055559352,13.4708538,1,1
N,4.111003198,-150.8679501,0,1
P,32.65108446,-234.5322875,1,1
N,-5.446713251,-314.2057077,0,0
M,6.481315828,-242.5492682,0,0
P,2.255928914,110.0916043,1,0
O,-12.56981153,105.8205856,0,0
M,29.46024101,-281.6675595,0,0
O,-15.89691777,405.561083,0,0
O,-15.14023913,157.004161,0,1
N,-3.876408916,-224.0673175,0,1
N,26.82594391,-136.7108917,0,0
N,7.616067888,72.90899523,0,1
M,15.90697189,-520.6416541,0,0
P,-3.302124064,-14.16255528,1,1
O,-14.65283055,85.13418767,0,1
M,21.88964353,-7.380427474,0,0
M,4.722472342,-114.418189,0,0
O,-2.131069477,90.59005082,0,0
N,30.05271334,-230.1247348,0,1
O,-1.531092311,207.3767229,0,0
M,-12.19357627,-138.811749,0,0
P,-29.91235199,-180.7021914,1,1
P,42.41221502,-244.404855,1,0
M,-8.447290268,-333.2172039,0,1
N,39.06391076,-431.5598209,0,1
M,23.80616358,-253.5044122,0,0
P,42.15161404,74.24450934,1,0
O,-12.00616063,14.50356396,0,1
M,35.89033507,-239.5350184,1,1
P,52.48589978,-12.06707054,1,1
P,14.13123259,-181.5621567,1,1
P,-22.70983089,-60.03930723,1,1
M,17.39653399,-30.46319219,0,1
N,19.30752874,-406.6812175,0,0
O,-7.139615841,419.8702266,1,0
M,14.66708156,-570.216347,0,0
O,-11.0492723,269.4589534,0,0
M,5.459878896,47.12218621,0,0
O,-5.808821071,251.8045721,0,1
N,25.65147366,-380.3428708,0,0
P,4.632870065,-9.782279755,1,1
M,1.569922731,-436.5713639,0,1
M,-2.056384073,-94.53089813,0,0
O,1.213840117,570.6088226,0,1
N,27.48904776,-516.0894506,0,0
P,29.87374688,-11.13572047,1,0
O,-17.65594069,168.4650183,0,1
M,11.58481127,-167.2641936,0,1
O,16.35319702,356.7863373,0,1
P,0.526738861,300.1640794,1,1
M,5.450663239,14.19136616,0,0
P,17.06524013,-312.0936134,1,1
O,-9.874168375,337.057981,0,1
M,17.99210899,-274.1710782,0,1
O,-14.43183678,71.16248516,0,1
N,37.91710267,-413.1570743,0,0
P,-16.46213448,-275.4723633,1,1
N,11.26353551,-248.7521026,1,0
O,-5.192769261,214.0048452,0,1
N,21.01072148,-370.5326044,0,0
N,23.1532598,-237.4660181,0,0
